target_bundle,scope_type,scope,method,records,scored_tokens,correct_tokens,token_accuracy,exact_records,exact_record_rate,tie_positions,projected_correct_tokens,a1_correct_tokens,token_delta,projected_accuracy,a1_accuracy,gain_tokens,regression_tokens,both_correct_tokens,both_wrong_tokens,equal_tokens
paired_1,position,106,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,107,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,108,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,109,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,110,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,111,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,112,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,113,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,114,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,115,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,116,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,117,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,118,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,119,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,120,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,121,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,122,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,123,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,124,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,125,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,126,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
